model_3   -C  -E  -n3   -o3   -S0   		6.26	
model_3   -C  -E  -n3   -o3   -S1   		2.81	
model_3   -C  -E  -n3   -o3   -S2   		2.83	
model_3   -C  -E  -n3   -o4   -S0   		Command exited with non-zero status 124 59.12	
model_3   -C  -E  -n3   -o4   -S1   		16.90	
model_3   -C  -E  -n3   -o4   -S2   		41.56	
model_3   -C  -E  -n4   -o2   -S0   		Command exited with non-zero status 124 59.05	
model_3   -C  -E  -n4   -o2   -S1   		Command exited with non-zero status 124 59.36	
model_3   -C  -E  -n4   -o2   -S2   		Command exited with non-zero status 124 59.36	
model_3   -C  -E  -n4   -o3   -S0   		3.12	
model_3   -C  -E  -n4   -o3   -S1   		2.96	
model_3   -C  -E  -n4   -o3   -S2   		2.98	
model_3   -C  -E  -n4   -o4   -S0   		Command exited with non-zero status 124 59.65	
model_3   -C  -E  -n4   -o4   -S1   		Command exited with non-zero status 124 59.75	
model_3   -C  -E  -n4   -o4   -S2   		Command exited with non-zero status 124 59.76	


model_3v      -E  -n0   -o2   -S0   		Command exited with non-zero status 124 59.73	
model_3v      -E  -n0   -o2   -S1   		Command exited with non-zero status 124 59.65	
model_3v      -E  -n0   -o2   -S2   		Command exited with non-zero status 124 59.81	
model_3v      -E  -n0   -o3   -S0   		14.56	
model_3v      -E  -n0   -o3   -S1   		6.91	
model_3v      -E  -n0   -o3   -S2   		8.45	
model_3v      -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.69	
model_3v      -E  -n0   -o4   -S1   		Command exited with non-zero status 124 59.83	
model_3v      -E  -n0   -o4   -S2   		Command exited with non-zero status 124 59.78	
model_3v      -E  -n1   -o2   -S0   		Command exited with non-zero status 124 59.82	
model_3v      -E  -n1   -o2   -S1   		Command exited with non-zero status 124 59.94	
model_3v      -E  -n1   -o2   -S2   		Command exited with non-zero status 124 59.91	
model_3v      -E  -n1   -o3   -S0   		5.47	
model_3v      -E  -n1   -o3   -S1   		10.11	
model_3v      -E  -n1   -o3   -S2   		6.27	
model_3v      -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.94	
model_3v      -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.85	
model_3v      -E  -n1   -o4   -S2   		Command exited with non-zero status 124 59.81	
model_3v      -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.70	
model_3v      -E  -n2   -o2   -S1   		Command exited with non-zero status 124 59.79	
